2001,Red-Haired Pirate,All Might,Haruno,79,Strategic Genius,Alive
2002,Hero,Levi,D. Teach,71,Wind Manipulation,Alive
2003,Hokage,Luffy,Hatake,32,One for All,Dead
2004,Demon Slayer,Zoro,Kamado,15,Mangekyou Sharingan,Alive
2005,Byakugan Master,Sasuke,Uzumaki,61,Mystic Ki,Dead
2006,Ackerman,Shanks,Tatsumaki,64,Rinnegan,Dead
2007,Caped Baldy,Nezuko,Saitou,16,Gigantic Strength,Dead
2008,Cherry Blossom,Hinata,Uchiha,74,One for All,Dead
2009,Prince of Saiyans,Sakura,Yeager,58,Mangekyou Sharingan,Alive
2010,Prince of Saiyans,Vegeta,Saitou,52,Titan Transformation,Alive
